DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1936-0007-KOR,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,KOR,Republic of Korea,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1936,8,28,1936,8,28,1104,,,,,,,,,,,4.430457951,,2003-07-01,2023-09-25
1956-0031-KOR,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,KOR,Republic of Korea,Eastern Asia,Asia,,,,No,No,No,,,,,,,1956,3,,1956,3,,103,,,,,,,,,,,8.665699021,,2003-07-01,2023-09-25
1957-0031-KOR,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,KOR,Republic of Korea,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1957,7,,1957,7,,238,,,,,,,,,,,8.955259855,,2003-07-01,2023-09-25
1957-0034-KOR,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,KOR,Republic of Korea,Eastern Asia,Asia,,,,No,No,No,,,Km2,,,,1957,8,,1957,8,,247,,,,,,,,,,,8.955259855,,2003-07-01,2023-09-25
1959-0012-KOR,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Sarah,KOR,Republic of Korea,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1959,9,17,1959,9,17,432,,,,,,,,,,,9.292648889,,2003-09-30,2023-09-25
1959-0039-KOR,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,KOR,Republic of Korea,Eastern Asia,Asia,,,,No,No,No,,,Km2,,,,1959,7,,1959,7,,62,,,,,,,,,,,9.292648889,,2003-07-01,2023-09-25
1961-0048-KOR,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,KOR,Republic of Korea,Eastern Asia,Asia,,,,No,No,No,,,Km2,,,,1961,7,,1961,7,,249,,,,,,,,,,,9.529077354,,2003-07-01,2023-09-25
1962-0035-KOR,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,KOR,Republic of Korea,Eastern Asia,Asia,,,,No,No,No,,,Km2,,,,1962,8,,1962,8,,290,,,,,,,,,,,9.643313459,,2003-07-01,2023-09-25
1963-0015-KOR,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,KOR,Republic of Korea,Eastern Asia,Asia,,,,No,No,No,,,,,,,1963,6,24,1963,6,24,116,,,,,,,,,,,9.762853734,,2003-07-01,2023-09-25
1964-0052-KOR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,KOR,Republic of Korea,Eastern Asia,Asia,"North Seoul, Kyonggi province",,,Yes,No,No,,,Kph,,,,1964,9,13,1964,9,13,210,300,43530,43000,86830,,,,,1000,10114,9.887713291,,2003-07-01,2023-09-25
1965-0043-KOR,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,KOR,Republic of Korea,Eastern Asia,Asia,Nationwide,,,Yes,No,No,,,Km2,,,,1965,7,15,1965,7,15,323,245,321000,23214,344459,,,,,36500,363385,10.04445076,,2003-07-01,2023-09-25
1966-0059-KOR,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,KOR,Republic of Korea,Eastern Asia,Asia,"Seoul, Kyonggi",,,Yes,No,No,,,Km2,,,,1966,7,24,1966,7,24,95,85,131904,65630,197619,,,,,1900,18362,10.34730224,,2003-07-01,2023-09-25
1967-9010-KOR,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,KOR,Republic of Korea,Eastern Asia,Asia,South,,,Yes,No,No,,,Km2,,,,1967,,,1968,,,,,2800000,,2800000,,,,,,,10.63421099,,2006-02-13,2025-03-06
1968-0078-KOR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,KOR,Republic of Korea,Eastern Asia,Asia,East Coast,,,No,No,No,,,Kph,,,,1968,10,24,1968,10,24,18,,,,,,,,,3000,27055,11.08848066,,2003-07-01,2023-09-25
1969-0084-KOR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,KOR,Republic of Korea,Eastern Asia,Asia,Hwachon,,,No,No,No,,,Kph,,,,1969,8,6,1969,8,6,85,15,120000,,120015,,,,,,,11.69417607,,2003-07-01,2023-09-25
1969-0093-KOR,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,KOR,Republic of Korea,Eastern Asia,Asia,"East, South coastal provinces",,,Yes,No,No,,,Km2,,,,1969,9,14,1969,9,14,408,409,227264,,227673,,,,,22400,191548,11.69417607,,2003-07-01,2023-09-25
1970-0036-KOR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,KOR,Republic of Korea,Eastern Asia,Asia,"East, South Esat coast",,,No,No,No,,,Kph,,,,1970,7,3,1970,7,3,39,,2500,,2500,,,,,5100,41206,12.37691039,,2003-07-01,2023-09-25
1970-0048-KOR,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,KOR,Republic of Korea,Eastern Asia,Asia,,,,No,No,No,,,Km2,,,,1970,9,15,1970,9,15,28,,7000,,7000,,,,,,,12.37691039,,2003-07-01,2023-09-25
1971-0043-KOR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,KOR,Republic of Korea,Eastern Asia,Asia,Seoul,,,No,No,No,,,Kph,,,,1971,7,27,1971,7,27,64,,50,,50,,,,,,,12.90822653,,2003-07-01,2023-09-25
1971-0128-KOR,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,KOR,Republic of Korea,Eastern Asia,Asia,,,,No,No,No,,,Kph,,,,1971,7,,1971,7,,45,,,,,,,,,,,12.90822653,,2003-07-01,2023-09-25
1972-0049-KOR,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,KOR,Republic of Korea,Eastern Asia,Asia,"North, Central",,,Yes,No,No,,,Km2,,,,1972,8,19,1972,8,19,672,785,800000,326000,1126785,,,,,72800,546111,13.33061828,,2003-07-01,2023-09-25
1972-0052-KOR,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,KOR,Republic of Korea,Eastern Asia,Asia,,,,No,No,No,,,Km2,,,,1972,9,13,1972,9,13,75,54,1500,,1554,,,,,634,4756,13.33061828,,2003-07-01,2023-09-25
1976-0053-KOR,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,KOR,Republic of Korea,Eastern Asia,Asia,Chonju,,,No,No,No,,,,,,,1976,8,7,1976,8,7,25,,,,,,,,,100000,551218,18.14164401,,2003-07-01,2023-09-25
1977-0079-KOR,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,KOR,Republic of Korea,Eastern Asia,Asia,Seoul area,,,Yes,No,No,,,Km2,,,,1977,7,8,1977,7,8,297,1000,73000,,74000,,,,,20000,103513,19.32115691,,2003-07-01,2023-09-25
1977-0104-KOR,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,KOR,Republic of Korea,Eastern Asia,Asia,,,,No,No,No,,,Km2,,,,1977,8,7,1977,8,7,18,,2000,,2000,,,,,13000,67284,19.32115691,,2003-07-01,2023-09-25
